FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Enes Freedom,Celtics,C,29.87,35,11.8,28,0.857,92,0.533,5,0.4,0.536,0.585,3.7,4.6,0.2,0.14,0.4,0.57,5.1,122.2,97.4,
Markelle Fultz,Magic,G,23.85,15,18.9,31,0.806,127,0.472,13,0.308,0.471,0.511,10.5,2.7,4.8,1.13,0.33,2,10.9,102.1,108.7,
Wenyen Gabriel,Clippers,F,25.03,6,7.7,4,0.5,8,0.375,5,0.4,0.462,0.474,2.3,2.3,0.3,0.17,0.33,0.5,6.1,98,86.9,70
Wenyen Gabriel,Lakers,F,25.03,15,14.8,25,0.64,51,0.569,21,0.238,0.507,0.536,5.9,4.1,0.5,0.27,0.33,0.6,6.2,114.7,95.6,70
Daniel Gafford,Wizards,F-C,23.51,68,19.9,135,0.704,379,0.691,1,0,0.689,0.704,9.1,5.7,0.9,0.41,1.38,0.94,7.2,134.8,104.3,
Danilo Gallinari,Hawks,F,33.65,63,25,154,0.903,282,0.479,273,0.37,0.516,0.572,11.3,4.6,1.6,0.43,0.17,0.54,7,119.3,111.9,
Langston Galloway,Nets,G,30.32,4,14.6,0,0,5,0.6,8,0.25,0.462,0.462,3,2,1.3,0,0,1.25,5.4,80.3,110.2,70
Langston Galloway,Bucks,G,30.32,3,16.2,0,0,5,0.2,8,0,0.077,0.077,0.7,3.3,2.3,0.33,0,0.33,4.3,56.4,110.7,70
Darius Garland,Cavs,G,22.19,65,35.8,232,0.897,681,0.512,437,0.38,0.535,0.575,21.6,3.3,8.6,1.31,0.11,3.77,9.5,111.9,108.7,
Marcus Garrett,Heat,G,23.4,12,10.7,5,0.4,17,0.235,4,0.25,0.262,0.28,1.1,1.9,0.6,0.42,0.25,0.17,4,89.9,98.4,
Usman Garuba,Rockets,F,20.07,21,9.5,7,0.714,21,0.571,17,0.235,0.474,0.499,2,3.2,0.6,0.38,0.43,0.29,6.6,114.4,105,
Luka Garza,Pistons,C,23.27,31,11.6,55,0.655,87,0.506,42,0.333,0.504,0.542,5.4,2.9,0.5,0.29,0.16,0.55,6.8,114.7,102.8,
Rudy Gay,Jazz,F-G,35.63,52,18.9,76,0.789,166,0.482,195,0.349,0.504,0.537,8.2,4.4,1,0.48,0.29,0.87,7,110.4,103.2,
Paul George,Clippers,F,31.92,29,35,135,0.867,369,0.469,242,0.343,0.487,0.531,24.6,6.8,5.5,2.14,0.38,4.14,11.1,98.7,103.9,88
Taj Gibson,Knicks,F,36.78,49,18.1,48,0.792,119,0.555,36,0.389,0.561,0.602,4.3,4.4,0.6,0.39,0.76,0.49,5,127.8,97.9,
Josh Giddey,Thunder,G,19.48,54,31.5,79,0.709,457,0.492,213,0.263,0.461,0.478,12.5,7.8,6.4,0.94,0.37,3.17,10.9,97.9,108.8,81
Shai Gilgeous-Alexander,Thunder,G-F,23.73,56,34.7,405,0.81,755,0.514,297,0.3,0.496,0.557,24.5,5,5.9,1.29,0.8,2.75,10.3,111.3,107.9,88
Anthony Gill,Wizards,F,29.46,41,10.1,50,0.8,70,0.6,24,0.542,0.654,0.703,4,1.8,0.6,0.1,0.27,0.34,6.5,138.3,105.4,
Freddie Gillespie,Magic,F,20,9,13.2,7,0.429,21,0.429,1,0,0.409,0.419,2.3,4,0.6,0.33,1,0.56,5.4,97.9,98.1,
Rudy Gobert,Jazz,C,29.77,62,32.2,394,0.693,474,0.715,4,0,0.709,0.73,15.3,14.7,1.1,0.69,2.13,1.77,7.8,138.5,100.2,
Brandon Goodwin,Cavs,G,26.51,34,14.5,38,0.632,97,0.464,55,0.345,0.484,0.507,5,2,2.6,0.74,0.03,1.03,8.2,105.3,104,
Aaron Gordon,Nuggets,F,26.55,73,31.6,221,0.742,555,0.604,252,0.333,0.571,0.601,14.9,5.8,2.5,0.59,0.58,1.73,7.6,115.8,109.7,80
Eric Gordon,Rockets,G,33.27,57,29.3,135,0.778,263,0.548,301,0.412,0.585,0.614,13.4,2,2.7,0.49,0.32,1.88,5.7,111.3,119.3,
Devonte' Graham,Pelicans,G,27.11,73,28.8,133,0.842,248,0.403,549,0.341,0.477,0.51,12,2.4,4.2,0.89,0.16,1.38,6.9,108.7,113.2,75
Jerami Grant,Pistons,F,28.06,47,31.9,259,0.838,445,0.465,254,0.358,0.491,0.556,19.2,4.1,2.4,0.94,1.04,1.81,7.2,108.9,110.9,
HasSpursi Gravett,Magic,G,25.72,8,21.4,4,0.75,12,0.583,26,0.423,0.618,0.629,6.3,2.6,2.5,0.63,0.13,1.13,6.4,112.9,108.8,
Danny Green,76ers,G,34.78,58,21.5,12,0.833,45,0.489,248,0.371,0.546,0.553,5.7,2.4,0.9,0.9,0.59,0.69,4.3,104.6,106.3,73
Draymond Green,Warriors,F,32.09,43,29,89,0.652,184,0.582,52,0.288,0.549,0.576,7.4,7.4,7,1.35,1.09,3.05,10,108.8,97.2,83
Javonte Green,Bulls,G-F,28.7,61,23.3,94,0.83,208,0.625,94,0.362,0.599,0.641,7.2,4.2,0.9,0.95,0.49,0.48,5.2,133.4,106.7,
Jalen Green,Rockets,G,20.15,64,31.6,218,0.803,461,0.495,434,0.343,0.504,0.544,16.8,3.3,2.6,0.64,0.27,2,6.6,104.2,116.9,
JaMychal Green,Nuggets,F-C,31.79,64,16.1,89,0.876,193,0.617,122,0.27,0.535,0.586,6.5,4.1,0.9,0.63,0.39,0.86,7.2,114.7,97.6,
Jeff Green,Nuggets,F,35.6,73,24.6,192,0.833,351,0.615,167,0.317,0.57,0.623,10.3,3.1,1.3,0.4,0.36,0.93,5.6,119.2,108.5,
Josh Green,Mavericks,G,21.38,64,15.4,43,0.698,173,0.561,71,0.352,0.551,0.569,4.7,2.3,1.2,0.66,0.22,0.66,6.1,113.7,100.6,
Blake Griffin,Nets,F,33.05,56,17.1,76,0.724,168,0.565,145,0.262,0.486,0.518,6.4,4.1,1.9,0.48,0.25,0.55,8.6,115.6,105.3,76
Quentin Grimes,Knicks,G,21.9,46,17.1,19,0.684,46,0.5,189,0.381,0.557,0.565,6,2,1,0.67,0.24,0.61,5.4,111.9,105,
Kyle Guy,Heat,G,24.65,19,9.8,12,0.667,25,0.48,40,0.35,0.508,0.526,3.9,0.9,0.9,0.37,0.05,0.68,6,99.4,106.8,
Rui Hachimura,Wizards,F,24.15,38,21.4,52,0.75,216,0.509,105,0.457,0.567,0.586,10.6,3.7,1.1,0.58,0.21,0.82,6.6,111.5,111.4,
Tyrese Haliburton,Kings,G,22.09,51,34.4,104,0.837,334,0.491,252,0.413,0.546,0.575,14.3,3.9,7.4,1.69,0.67,2.25,8.7,116.8,114.4,
Tyrese Haliburton,Pacers,G,22.09,23,35.8,75,0.84,158,0.563,127,0.409,0.586,0.624,17.3,4.3,9.8,1.87,0.61,3.17,10.1,123.2,113.3,
R.J. Hampton,Magic,G,21.15,61,21.4,113,0.628,246,0.402,171,0.345,0.45,0.478,7.3,2.9,2.3,0.67,0.21,1.33,6.8,93.6,108.9,
Tim Hardaway Jr.,Mavericks,G-F,30.05,42,29.6,103,0.757,226,0.473,304,0.336,0.491,0.52,14.2,3.7,2.2,0.9,0.14,0.81,6.6,106.7,106.7,
James Harden,Nets,G,32.61,44,37,350,0.869,399,0.476,307,0.332,0.486,0.576,22.5,8,10.2,1.27,0.7,4.82,13.2,111.8,108.3,92
James Harden,76ers,G,32.61,18,37.5,172,0.89,127,0.472,121,0.339,0.49,0.612,22,7.7,9.8,1.33,0.28,3.33,12.6,123.3,105.6,92
Maurice Harkless,Kings,F-G,28.9,47,18.4,28,0.714,80,0.65,101,0.307,0.544,0.561,4.6,2.4,0.5,0.62,0.51,0.66,3.8,101.3,109.4,
Jared Harper,Pelicans,G,24.55,2,5.3,0,0,5,0.4,2,0.5,0.5,0.5,3.5,0.5,1.5,0,0.5,0.5,10.4,110.1,100.4,67
Montrezl Harrell,Wizards,F-C,28.19,46,24.3,205,0.727,368,0.66,15,0.267,0.65,0.684,14.1,6.7,2.1,0.39,0.67,1.09,9.6,135.3,108.3,
Montrezl Harrell,Hornets,F-C,28.19,22,20.9,88,0.693,151,0.623,2,0,0.614,0.649,11.3,5,2,0.41,0.41,0.77,9.3,135.3,108.4,
Gary Harris,Magic,G,27.55,61,28.4,95,0.874,251,0.494,302,0.384,0.539,0.571,11.1,2,1.8,0.97,0.15,1,4.8,110.5,111.8,
Joe Harris,Nets,G-F,30.58,14,30.2,6,0.833,36,0.417,88,0.466,0.617,0.624,11.3,4,1,0.5,0.14,1.14,4.7,112,110.6,76
Shaquille Harrison,Nets,G,28.49,2,11.3,0,0,4,0.5,2,0,0.333,0.333,2,2,1.5,0.5,0.5,1,6.4,75.7,101.9,70
Tobias Harris,76ers,F,29.72,69,35,199,0.839,719,0.53,261,0.356,0.531,0.566,17.5,6.9,3.5,0.58,0.61,1.57,8.6,113.2,107.4,83
Isaiah Hartenstein,Clippers,C-F,23.92,65,17.6,125,0.672,323,0.65,22,0.409,0.648,0.664,8.2,4.8,2.2,0.77,1.12,1.25,10.1,126.5,96.6,75
Josh Hart,Pelicans,G,27.08,41,33.5,154,0.753,256,0.598,130,0.323,0.56,0.604,13.4,7.8,4.1,1.1,0.27,1.98,9,117.9,105,80
Josh Hart,Trail Blazers,G,27.08,13,32.1,57,0.772,100,0.61,83,0.373,0.587,0.622,19.9,5.4,4.3,1.23,0.15,2.54,9.6,116.7,111.5,80
Udonis Haslem,Heat,F,41.82,12,5.2,3,1,23,0.522,3,0.333,0.519,0.549,2.5,1.6,0.3,0.08,0.08,0.33,8.2,104.4,90.1,
Sam Hauser,Celtics,F,24.32,23,5.5,0,0,4,0.5,36,0.417,0.613,0.613,2.1,1,0.3,0.04,0.09,0.09,6.2,126.5,106.3,
Jaxson Hayes,Pelicans,C-F,21.86,66,19.7,177,0.774,312,0.663,48,0.354,0.646,0.687,9.1,4.4,0.6,0.47,0.82,0.8,5.9,132.6,103.6,76
Killian Hayes,Pistons,G,20.69,63,25.1,68,0.765,278,0.45,156,0.269,0.433,0.461,6.8,3.2,4.3,1.19,0.54,1.75,7.2,96.7,105.4,
Gordon Hayward,Hornets,F,32.03,49,31.9,149,0.846,397,0.496,220,0.391,0.528,0.57,15.9,4.6,3.6,0.96,0.45,1.65,8,113.2,112.7,
Juancho Hernangomez,Celtics,F,26.52,18,5.3,9,0.667,9,0.222,18,0.167,0.241,0.307,1.1,1.4,0.2,0.22,0.11,0.33,5.1,75.2,101.2,
Juancho Hernangomez,Spurs,F,26.52,5,10.1,4,0.75,3,0.667,3,0,0.333,0.451,1.4,3,0.6,0.2,0.2,0.4,5.4,105.9,114.8,
Juancho Hernangomez,Jazz,F,26.52,14,16.9,14,0.429,13,0.692,40,0.425,0.651,0.634,5.4,3.3,0.9,0.5,0.5,0.5,6,124.8,106.5,
Willy Hernangomez,Pelicans,C-F,27.86,45,16.3,123,0.756,274,0.54,11,0.364,0.54,0.591,8.9,6.5,1.2,0.42,0.4,1.04,10.1,122.2,101,75
Tyler Herro,Heat,G,22.2,64,32.6,210,0.862,665,0.475,427,0.393,0.52,0.556,20.6,5,3.9,0.66,0.13,2.63,9.1,106.1,108.2,
Buddy Hield,Kings,G,29.29,55,28.6,92,0.87,198,0.419,495,0.368,0.514,0.54,14.4,4,1.9,0.87,0.27,1.64,6.7,103.2,111.6,
Buddy Hield,Pacers,G,29.29,23,35.8,31,0.871,163,0.546,192,0.365,0.546,0.563,18,5,4.9,0.91,0.39,2.43,8.5,109.7,112,
Haywood Highsmith,Heat,F,25.32,17,7,4,0.5,9,0.222,18,0.389,0.463,0.469,1.6,1.2,0.2,0.12,0.12,0.12,4.2,106,104.5,
George Hill,Bucks,G,35.92,51,23.6,56,0.911,137,0.533,129,0.31,0.5,0.545,6.2,3,2.3,0.78,0.12,0.78,5.9,116.6,110.2,73
Malcolm Hill,Hawks,F,26.44,3,15.3,4,1,3,0.667,5,0.6,0.813,0.871,5.7,2,0.3,1.33,0.33,0,3.9,183.6,99.1,
Malcolm Hill,Bulls,F,26.44,14,10.8,10,0.7,12,0.667,29,0.345,0.561,0.584,3.8,1.9,0.3,0.14,0.14,0.14,4.8,124.3,107.5,
Solomon Hill,Hawks,F,31.05,13,10.7,0,0,7,0.143,13,0.154,0.2,0.2,0.6,1.8,0.9,0.31,0.15,0.08,3.7,87.7,105.9,
Jaylen Hoard,Thunder,F,23.01,3,21.9,4,0.5,9,0.556,4,0.25,0.5,0.508,5,8.7,1.3,0,0.67,0.67,7,120.1,109.1,69
Aaron Holiday,Wizards,G,25.51,41,16.2,35,0.8,147,0.524,67,0.343,0.521,0.547,6.1,1.6,1.9,0.59,0.22,0.95,6.5,104.8,108.8,
Aaron Holiday,Suns,G,25.51,18,16.4,23,0.957,70,0.443,24,0.542,0.537,0.591,6.8,2.4,3.5,0.89,0,1.22,9.4,119,103.6,
Jrue Holiday,Bucks,G,31.81,63,33.4,172,0.767,607,0.545,305,0.416,0.572,0.595,18.7,4.5,6.8,1.65,0.43,2.78,9.9,117.4,108.5,85
Justin Holiday,Pacers,F-G,33,49,28.9,41,0.829,122,0.516,336,0.378,0.553,0.568,11,2.8,1.8,0.73,0.37,1,5.3,111.4,113.4,
Justin Holiday,Kings,F-G,33,22,26.1,21,0.762,51,0.373,133,0.308,0.438,0.458,8,2.3,1.4,0.73,0.68,0.91,4.5,93.3,112.7,
Richaun Holmes,Kings,F,28.47,45,23.9,90,0.778,295,0.664,5,0.4,0.663,0.689,10.4,7,1.1,0.38,0.93,1.24,7.2,128.2,104.7,
Rodney Hood,Bucks,G-F,29.45,39,14.9,14,0.929,51,0.431,80,0.3,0.443,0.47,3.3,1.7,0.8,0.31,0.1,0.18,4.4,107.1,112,70
Rodney Hood,Clippers,G-F,29.45,11,9.5,3,0.667,15,0.4,9,0.444,0.5,0.513,2.4,0.6,0.5,0.27,0.18,0.36,3.8,99.4,115.7,70
Al Horford,Celtics,C-F,35.84,67,29.1,95,0.842,293,0.573,261,0.326,0.533,0.563,10,7.7,3.4,0.7,1.34,0.94,8.8,122.8,101.6,
Talen Horton-Tucker,Lakers,G,21.35,56,25.1,103,0.777,314,0.494,167,0.269,0.463,0.499,9.4,3.2,2.6,0.91,0.5,1.41,6.8,100.3,107.3,74
Danuel House Jr.,Rockets,F-G,28.83,16,14.5,19,0.895,40,0.375,34,0.294,0.405,0.467,4.8,2.7,1.2,0.31,0.31,1.13,6.9,89.1,112.6,
Danuel House Jr.,Jazz,F-G,28.83,21,18.3,26,0.692,32,0.5,62,0.435,0.601,0.621,6.2,2.6,1.1,0.52,0.43,0.38,5.7,129.5,107.2,
Dwight Howard,Lakers,C-F,36.32,57,15.8,128,0.641,188,0.606,11,0.636,0.626,0.648,5.8,5.8,0.5,0.56,0.6,0.77,6.5,128,100.5,78
Markus Howard,Nuggets,G,23.09,29,5.1,15,0.867,22,0.227,60,0.433,0.537,0.57,3.5,0.3,0.2,0.28,0,0.21,4.7,106.8,108.1,
Kevin Huerter,Hawks,G-F,23.6,70,29.6,50,0.8,332,0.527,387,0.388,0.556,0.567,12,3.4,2.7,0.71,0.36,1.26,6.5,110.7,110.2,
Jay Huff,Lakers,C,24.61,4,5.1,0,0,1,0,2,0,0,0,0,1,0.3,0.25,0.25,0.25,0,34.3,110.8,67
Elijah Hughes,Jazz,G,24.07,14,8,3,1,8,0.625,28,0.357,0.556,0.576,3.1,1.2,0.4,0.29,0.07,0.5,5.7,104.8,107.4,
Elijah Hughes,Trail Blazers,G,24.07,18,14.2,4,0.5,32,0.406,52,0.231,0.369,0.373,3.6,1.8,0.7,0.44,0.28,0.33,4.7,82,109.4,
De'Andre Hunter,Hawks,F-G,24.34,49,29.7,154,0.76,342,0.488,183,0.372,0.512,0.553,13.4,3.3,1.3,0.71,0.39,1.27,5.2,106.7,108.9,
Bones Hyland,Nuggets,G,21.55,66,18.9,120,0.85,202,0.455,339,0.366,0.514,0.554,10,2.8,2.6,0.61,0.26,1.26,8.8,108.1,102.5,
Serge Ibaka,Clippers,F,32.54,35,15.4,29,0.69,130,0.538,62,0.387,0.552,0.567,6.6,4.3,1,0.2,0.74,0.94,7.9,108.9,101.9,77
Serge Ibaka,Bucks,F,32.54,18,18.2,15,0.8,63,0.587,36,0.361,0.571,0.592,6.9,5.3,0.7,0.22,0.39,0.56,6.5,120.3,99.6,77
Andre Iguodala,Warriors,G-F,38.18,29,19.5,18,0.778,42,0.643,69,0.232,0.459,0.488,4,3.3,3.7,0.83,0.76,0.9,7.5,115.6,105,77
Joe Ingles,Jazz,F-G,34.51,45,24.9,22,0.773,60,0.617,225,0.347,0.54,0.551,7.2,2.9,3.5,0.51,0.11,1.02,6.7,117,107.9,
Brandon Ingram,Pelicans,F,24.59,54,34,314,0.828,745,0.503,223,0.327,0.501,0.556,22.8,5.8,5.5,0.63,0.46,2.76,10.6,111,109.6,85
Kyrie Irving,Nets,G,30.03,25,37.2,113,0.912,326,0.494,198,0.424,0.548,0.59,27.1,4.1,5.6,1.32,0.64,2.44,9.2,116.4,110,92
Wes Iwundu,Hawks,F,27.29,3,27.4,4,0.75,13,0.385,5,0.6,0.528,0.557,7.3,4.3,0,0.33,0,0.33,0,115.1,108.9,
Jaren Jackson Jr.,Grizzlies,F-C,22.55,75,27.2,326,0.819,611,0.48,385,0.319,0.479,0.536,16.3,5.8,1.1,0.93,2.27,1.68,6.9,108.5,98.9,84
Frank Jackson,Pistons,G,23.92,50,22.2,98,0.816,194,0.531,267,0.315,0.497,0.534,10.8,1.6,1,0.52,0.18,0.74,4.7,106,112.2,
Isaiah Jackson,Pacers,F,20.23,33,13.7,77,0.649,167,0.587,13,0.308,0.578,0.603,7.8,4.1,0.3,0.55,1.36,1.06,6.2,113.2,98.3,
Josh Jackson,Pistons,G-F,25.15,39,18.1,56,0.714,138,0.529,113,0.265,0.47,0.501,7.1,3.2,1.3,0.54,0.46,0.97,6.8,97.6,106.3,
Josh Jackson,Kings,G-F,25.15,9,7.7,14,0.571,15,0.467,9,0.111,0.354,0.414,2.8,1,0.3,0.33,0.44,0.44,4.9,83.7,100.1,
Justin Jackson,Suns,F,27.02,6,5.8,0,0,5,0.4,9,0.333,0.464,0.464,2.2,1.2,0.3,0,0,0.17,6.4,96.4,103.3,
Reggie Jackson,Clippers,G,31.97,73,31.3,163,0.847,698,0.437,504,0.329,0.461,0.489,17.1,3.6,4.9,0.74,0.19,2.29,8.6,99.1,108.8,77
LeBron James,Lakers,F,37.26,56,37.2,336,0.756,773,0.62,448,0.359,0.59,0.619,30.3,8.2,6.2,1.3,1.05,3.5,12.4,116.7,109.5,96
Ty Jerome,Thunder,G-F,24.74,48,16.7,47,0.809,142,0.493,186,0.29,0.46,0.488,7.1,1.6,2.3,0.63,0.1,0.77,7.1,103.4,107.5,73
Isaiah Joe,76ers,G,22.76,53,10.8,29,0.931,39,0.41,126,0.333,0.479,0.52,3.5,1,0.6,0.23,0.06,0.3,4.7,104.7,108.1,69
Alize Johnson,Bulls,F,25.95,16,7.5,7,0.571,21,0.571,2,0,0.522,0.537,1.8,2.3,0.5,0.19,0,0.5,6.8,112.7,102.6,72
Alize Johnson,Wizards,F,25.95,3,6.1,1,0,4,0.5,2,0,0.333,0.311,1.3,4,0,0,0,1,0,74,112.5,72
Alize Johnson,Pelicans,F,25.95,4,7.1,4,0.75,10,0.3,0,0,0.3,0.383,2.3,3.3,0.3,0.5,0,0.25,7.4,106.4,99.9,72
BJ Johnson,Magic,F,26.29,4,16.2,0,0,15,0.467,10,0.4,0.52,0.52,6.5,3.8,0,0,0.25,0,0,113.3,111.6,
Cameron Johnson,Suns,F,26.09,62,26.3,108,0.87,200,0.52,369,0.436,0.607,0.637,12.7,4.1,1.5,0.84,0.23,0.69,6.5,124.4,104.9,
James Johnson,Nets,F,35.12,62,19.2,55,0.527,221,0.548,85,0.271,0.508,0.515,5.5,3.5,2.1,0.48,0.55,0.77,7.2,109.6,102.5,74
Jalen Johnson,Hawks,F,20.29,19,5.9,7,0.714,27,0.704,12,0.25,0.603,0.618,2.7,1.3,0.2,0.16,0.11,0.47,6,100.7,107.4,
Keldon Johnson,Spurs,F-G,22.48,72,31.8,217,0.756,582,0.505,380,0.405,0.546,0.574,16.9,6.1,2,0.74,0.18,1.25,7.4,113.5,109.9,
Keon Johnson,Clippers,G,20.07,15,9,21,0.762,40,0.35,11,0.273,0.363,0.44,3.5,1.4,0.9,0.47,0.13,0.47,7.3,95.7,97,72
Keon Johnson,Trail Blazers,G,20.07,18,23.9,22,0.818,103,0.369,68,0.382,0.45,0.476,9.6,2.8,1.9,0.83,0.39,1.5,6.2,95.6,112.8,
Stanley Johnson,Lakers,F-G,25.85,44,22,54,0.741,125,0.576,90,0.333,0.544,0.574,6.2,3,1.7,0.91,0.32,0.55,5.7,119.7,106.5,74
Tyler Johnson,76ers,G,29.91,3,12.7,0,0,3,0.333,7,0.429,0.55,0.55,3.7,2,0.7,0.33,0.33,0.33,5.4,109.1,103.2,70
Tyler Johnson,Spurs,G,29.91,3,17.7,0,0,4,0,6,0.333,0.3,0.3,2,2,1.7,0.67,0.67,0.33,4.3,88.8,111.8,70
Nikola Jokic,Nuggets,C,27.12,72,33.3,460,0.811,972,0.653,280,0.339,0.621,0.663,26.8,13.7,8,1.43,0.88,3.82,17.2,126.5,101.2,96
Derrick Jones Jr.,Bulls,F,25.13,47,17.2,62,0.79,124,0.637,50,0.32,0.592,0.633,5.4,3.3,0.5,0.47,0.66,0.53,4.8,127,103.8,
Carlik Jones,Mavericks,G,24.28,3,6.4,2,1,6,0,1,0,0,0.127,0.7,1,1.7,0.33,0,1,6.6,51.8,112.4,
Damian Jones,Kings,C,26.76,53,17.5,114,0.728,215,0.684,25,0.32,0.663,0.691,7.6,4.4,1.2,0.42,0.83,1,7.8,128.3,103.9,
Herbert Jones,Pelicans,F,23.49,75,30.1,158,0.835,398,0.533,162,0.34,0.526,0.573,9.6,3.8,2.2,1.65,0.77,1.32,5.7,113.7,104.5,78
Mason Jones,Lakers,G,23.7,2,4.4,2,0.5,6,0.333,2,0,0.25,0.282,2.5,1,0,0.5,0,0.5,0,60.3,101,73
Tre Jones,Spurs,G,22.24,65,15.9,74,0.797,253,0.549,43,0.163,0.505,0.545,5.5,2.2,3.1,0.57,0.09,0.63,8.4,120.2,109.7,
Tyus Jones,Grizzlies,G,25.9,70,21,66,0.818,327,0.495,197,0.381,0.524,0.545,8.6,2.4,4.4,0.91,0.03,0.61,8.6,125.4,111.6,80
DeAndre Jordan,Lakers,C,33.7,32,12.8,26,0.462,89,0.674,0,0,0.674,0.657,4.1,5.4,0.4,0.31,0.81,0.66,6.5,125.1,99.8,73
DeAndre Jordan,76ers,C,33.7,14,13,12,0.833,45,0.556,0,0,0.556,0.597,4.3,5.4,0.4,0.14,0.57,1.07,6.5,113.3,102,73
Cory Joseph,Pistons,G,30.62,65,24.6,113,0.885,243,0.465,157,0.414,0.526,0.579,8,2.7,3.6,0.65,0.26,1.31,6.9,115.1,109.3,
Georgios Kalaitzakis,Bucks,F,23.25,9,5.3,9,0.444,7,0.429,4,0.5,0.545,0.535,1.8,0.9,0,0.11,0.11,0.44,0,94,99,68
Frank Kaminsky,Suns,F-C,29,9,20.1,20,0.9,51,0.608,15,0.333,0.583,0.635,10.6,4.6,1.4,0.89,0.78,0.56,8.1,130.9,101.8,
Luke Kennard,Clippers,G,25.78,68,27.5,75,0.893,205,0.449,409,0.45,0.599,0.621,11.8,3.3,2.1,0.57,0.09,0.82,6.3,119.7,110.4,77
Braxton Key,Pistons,F,25.13,6,21.7,5,0.4,39,0.41,12,0.333,0.431,0.432,7.7,5.8,0.7,1.17,1.33,0.83,5.8,90.6,97.2,
George King,Mavericks,F-G,28.22,4,4.8,2,0.5,1,0,4,0,0,0.085,0.3,1.3,0,0,0,0.25,0,16.6,87.7,
Louis King,Kings,F,23,10,10.4,10,0.7,20,0.35,27,0.296,0.404,0.438,4.5,1.2,0.9,0.2,0.1,0,6.5,99.9,105.4,
Corey Kispert,Wizards,F,23.09,73,23.1,60,0.867,182,0.621,294,0.344,0.556,0.578,8,2.6,1.1,0.44,0.3,0.64,4.9,113.7,114.3,
Maxi Kleber,Mavericks,F,30.18,59,24.6,65,0.708,99,0.586,255,0.325,0.516,0.537,7,5.9,1.2,0.51,0.98,0.8,6,109.9,101.1,
Brandon Knight,Mavericks,G,30.34,5,12.9,8,1,8,0.75,17,0.235,0.48,0.561,6.4,1.6,1.6,0.2,0,0.8,7.9,110.2,105.4,
Nathan Knight,Timberwolves,F-C,24.54,36,7,57,0.737,66,0.53,10,0.3,0.52,0.599,3.4,2.1,0.5,0.19,0.22,0.47,8.7,121.6,98.5,
Kevin Knox II,Knicks,F,22.65,13,8.5,10,0.7,12,0.417,28,0.357,0.5,0.529,3.6,1.7,0.2,0.15,0.08,0.38,5,107.3,110.6,
Kevin Knox II,Hawks,F,22.65,15,7.2,10,0.8,19,0.579,23,0.217,0.44,0.485,3,1.3,0.5,0.13,0.07,0.13,6.9,108.6,105.5,
John Konchar,Grizzlies,G,26.03,68,17.8,44,0.568,126,0.603,118,0.415,0.613,0.615,4.8,4.5,1.4,0.65,0.31,0.38,7,132.4,104.6,75
Furkan Korkmaz,76ers,G-F,24.7,64,21.5,80,0.8,200,0.52,259,0.293,0.475,0.506,7.8,2.7,1.9,0.52,0.13,0.73,6.4,104,111,73
Luke Kornet,Cavs,F-C,26.72,2,7.5,3,0.667,4,0.25,1,0,0.2,0.316,2,1.5,0.5,0,0.5,0,6.1,96.8,109,
Luke Kornet,Celtics,F-C,26.72,9,5.5,1,0,11,0.636,2,0,0.538,0.521,1.6,1.6,0.3,0.22,0.11,0,6.7,129.8,102.4,
Vit Krejci,Thunder,G,21.79,26,21.2,20,0.85,46,0.478,78,0.359,0.516,0.546,5.6,3.1,1.8,0.54,0.23,0.88,5.9,108,106.5,70
Jonathan Kuminga,Warriors,F,19.49,67,16.8,182,0.676,295,0.597,143,0.315,0.556,0.589,9.1,3.3,0.9,0.42,0.31,1.06,7.1,110.2,98.4,79
Kyle Kuzma,Wizards,F,26.7,66,33.4,219,0.712,561,0.526,375,0.341,0.52,0.547,17.1,8.5,3.5,0.64,0.86,2.55,9.6,103.3,109.5,
Jeremy Lamb,Pacers,G-F,29.84,39,15.7,80,0.838,111,0.414,117,0.333,0.458,0.524,7.1,2.4,1.3,0.59,0.36,0.62,7.2,110.4,111.6,
Jeremy Lamb,Kings,G-F,29.84,14,18.4,22,0.818,57,0.474,42,0.286,0.455,0.497,7.7,3.6,1.5,0.36,0.5,0.57,7.5,106.5,114.2,
Jock Landale,Spurs,C,26.44,52,10.7,37,0.838,110,0.645,83,0.337,0.585,0.614,4.9,2.4,0.8,0.19,0.27,0.6,7.9,121.4,108,
Romeo Langford,Celtics,G-F,22.44,44,16.6,34,0.588,101,0.495,83,0.349,0.508,0.52,4.7,2.4,0.4,0.48,0.36,0.36,4,108.1,105.2,
Romeo Langford,Spurs,G-F,22.44,2,10.6,4,0.25,3,1,2,0,0.6,0.518,3.5,1,0.5,0,0,0,4.5,107.2,119.7,
Zach LaVine,Bulls,G-F,27.07,65,34.9,369,0.851,696,0.533,466,0.393,0.556,0.606,24.7,4.7,4.5,0.63,0.34,2.58,9.2,114.9,112.3,
Jake Layman,Timberwolves,F,28.08,33,6.5,14,0.714,36,0.556,34,0.206,0.436,0.466,2.2,1,0.3,0.18,0.15,0.3,5.4,92.9,111,
Damion Lee,Warriors,G-F,29.45,60,20.1,71,0.873,185,0.546,184,0.337,0.526,0.562,7.5,3.2,1,0.62,0.1,0.62,5.7,111.2,103.3,74
