FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Killian Tillie,Grizzlies,F-C,24.08,36,12.8,8,0.625,41,0.39,86,0.314,0.445,0.452,3.3,1.7,0.6,0.64,0.42,0.36,4.7,100.9,100.4,69
Xavier Tillman,Grizzlies,F,23.23,49,13,66,0.652,154,0.532,42,0.214,0.487,0.52,4.8,3.1,1.1,0.94,0.31,0.65,7.8,112.4,100.9,76
Isaiah Todd,Wizards,F,20.46,10,4.1,6,0.333,6,0.167,11,0.364,0.412,0.407,1.6,1,0.3,0.2,0.2,0.1,7.6,91.5,112.2,
Obi Toppin,Knicks,F,24.09,69,16.1,113,0.761,268,0.657,142,0.268,0.568,0.6,8,3.6,1,0.32,0.42,0.75,7.6,118.8,104.4,
Juan Toscano-Anderson,Warriors,F,28.98,71,13.6,70,0.571,146,0.589,85,0.306,0.541,0.554,4.1,2.4,1.7,0.68,0.24,0.92,7.5,106,97.5,73
Karl-Anthony Towns,Timberwolves,C-F,26.38,72,33.4,457,0.825,819,0.587,352,0.409,0.595,0.645,24.6,9.8,3.6,1,1.13,3.11,11.4,121.5,102.4,
Gary Trent Jr.,Raptors,G-F,23.21,66,34.9,197,0.848,495,0.442,519,0.38,0.507,0.543,18.1,2.7,2,1.82,0.26,1.05,5.3,113.5,109.2,79
P.J. Tucker,Heat,F,36.92,70,28,61,0.738,231,0.541,190,0.416,0.578,0.594,7.6,5.4,2.1,0.81,0.21,0.93,6.3,120.9,103,
Rayjon Tucker,Nuggets,G,24.53,3,9.8,4,0.75,0,0,2,0.5,0.75,0.798,2,1.3,1.3,0.33,0,0,6.1,188.7,105,
Myles Turner,Pacers,C-F,26.03,42,29.4,105,0.752,210,0.662,183,0.333,0.587,0.615,12.9,7.1,1,0.67,2.81,1.29,6.1,117.7,108,
Jonas Valanciunas,Pelicans,C,29.91,72,30.7,283,0.816,766,0.581,158,0.361,0.574,0.616,17.9,11.6,2.6,0.58,0.83,2.43,10.6,118.1,101.2,83
Denzel Valentine,Cavs,G,28.38,22,9.3,0,0,18,0.278,44,0.409,0.516,0.516,2.9,1.7,0.5,0.32,0,0.45,5.8,100.1,103,
Denzel Valentine,Jazz,G,28.38,2,9.3,0,0,1,1,3,0.333,0.625,0.625,2.5,2,0,0.5,0,1,0,75.3,93,
Jarred Vanderbilt,Timberwolves,F,23,71,25.5,125,0.656,340,0.603,13,0.154,0.589,0.61,7,8.5,1.3,1.34,0.65,0.99,6.7,127.8,102.3,
Fred VanVleet,Raptors,G,28.1,64,37.9,219,0.877,446,0.444,630,0.381,0.519,0.558,20.4,4.5,6.6,1.72,0.55,2.61,8.9,115.2,107.9,83
Devin Vassell,Spurs,G-F,21.61,68,27.1,91,0.824,367,0.499,358,0.352,0.513,0.535,12,4.3,1.9,1.04,0.6,0.79,6.8,109,107.8,
Gabe Vincent,Heat,G,25.8,65,23.6,54,0.815,186,0.5,311,0.367,0.531,0.549,8.8,1.9,3.1,0.92,0.18,1.48,6.3,106.7,102.8,
Nikola Vucevic,Bulls,C,31.44,70,33.5,117,0.752,795,0.546,321,0.318,0.526,0.54,18,11.2,3.3,0.99,1.01,1.84,10.4,108.8,104.9,
Dean Wade,Cavs,F-C,25.37,51,19.2,30,0.667,75,0.64,142,0.359,0.574,0.584,5.3,2.9,1,0.57,0.14,0.31,5.2,122,103.2,
Franz Wagner,Magic,F,20.6,78,31.1,219,0.863,704,0.51,269,0.357,0.517,0.559,15.3,4.6,2.9,0.87,0.44,1.53,7.6,110.6,109.9,
Moritz Wagner,Magic,F-C,24.94,60,14.7,123,0.805,182,0.665,185,0.319,0.571,0.615,8.6,3.6,1.3,0.28,0.22,0.87,9.3,116.9,100.9,
Ish Wainright,Suns,F,27.56,42,7.2,12,0.583,32,0.469,43,0.279,0.44,0.455,1.7,1,0.3,0.31,0.14,0.29,4.4,96.5,98,
Lonnie Walker IV,Spurs,G-F,23.31,68,23,142,0.775,399,0.486,342,0.313,0.478,0.51,12,2.5,2.2,0.62,0.28,1.06,7,102.6,111.3,
Kemba Walker,Knicks,G,31.91,37,25.6,71,0.845,171,0.444,199,0.367,0.501,0.537,11.6,3,3.5,0.7,0.19,1.3,7.7,111.8,111.4,
MJ Walker,Suns,G,24.02,2,4.2,0,0,2,0,2,0,0,0,0,0.5,0.5,1,0,0,0,17.5,87,
Tyrone Wallace,Pelicans,G,27.82,6,12.5,5,0.2,12,0.417,8,0.25,0.4,0.383,2.8,1.3,0.2,0.5,0.17,0.33,2.9,74.7,106,68
Derrick Walton Jr.,Pistons,G,27.01,3,36.1,4,1,13,0.231,13,0.231,0.288,0.342,6.3,3.3,7,2.33,1.33,3.67,5.8,76.9,109.4,
